질문_1,질문_3,index,질문_3_replace
콘크리트 구조는 어떤 방식이 있어?,콘크리트 구조는 다양한 방식으로 구성됩니다.,11,콘크리트 구조의 다양한 방식을 알려줄래?
흡음이 뭐야?,흡음은 어떤 소리를 차단하거나 외부 소음을 줄이는 기술이다.,39,흡입이란 무엇인가요?
라돈을 제외한 공동주택의 실내공기질 측정지점이 어떻게 돼?,공동주택의 실내공기질 측정지점은 라돈을 제외한 것이다.,41,라돈을 제외한 공동주택의 내부 공기질은 어디서 측정되나요?
차음이 뭐야?,차음은 어떤 음의 발음 중에 파열음과 함께 나타나는 소리를 말해요.,52,차음은 무슨 뜻이야?
방음이 뭐야,방음은 소리를 막는 것을 의미합니다.,54,방음은 무엇인가요?
경질우레탄폼 보온판에 대해 설명해줘,경질우레탄폼 보온판은 보온 효과를 위해 사용되는 판재입니다.,75,경질우레탄폼 보온판에 대한 설명을 해 주실 수 있나요?
흡음재 중 다공질이 뭐야?,다공질이란 흡음재의 한 종류이다.,84,흡음재에서 다공질은 무엇인가요?
비드법 보온판 2종에 대해 설명해줘,비드법 보온판 2종에 대한 간단한 설명을 해드릴게요.,86,비드법 보온판 2종에 대한 설명을 해 줄 수 있어?
사우나를 만들려고 해. 어떤 자재가 적합할까?,적합한 자재로 사우나를 만들고 싶다.,129,사우나를 건설하려면 무엇이 적합한 자재일까요?
알미늄페인트가 뭐야?,알미늄페인트란 물체에 적용되는 알루미늄을 포함한 특수한 종류의 페인트입니다.,164,알미늄페인트의 정의가 뭔지 알려줄래?
폴리에스테르 흡음 단열재에 대해 설명해줘,폴리에스테르 흡음 단열재는 소음을 흡수하고 열을 차단하여 환경 내에서 더 편안하고 조용한 공간을 제공합니다.,176,폴리에스테르 흡음 단열재에 대한 설명을 해 줄 수 있어?
실내 흡연을 하면 벽지가 변색될 수 있어?,실내에서 흡연하면 벽지가 변색될 수 있다.,188,흡연하면 실내 벽지에 변색이 생길 수 있나요?
열반사 단열재에 대해 설명해줘,열반사 단열재는 열을 효과적으로 반사하여 내부 온도를 안정하게 유지시키는 재료이다.,215,열을 반사하는 단열재에 대해 설명해줄래?
비드법 보온판 1종에 대해 설명해줘,비드법 보온판 1종의 설명을 부탁드립니다.,240,비드법 보온판 1종에 대한 설명을 해줄래?.
셀룰로오스 단열재에 대해 설명해줘,셀룰로오스 단열재는 높은 단열성을 가지고 있는 재료이다.,283,셀룰로오스 단열재에 대한 설명을 해 주실 수 있나요?
다공질 흡음재 중 아트보드는 뭐야?,아트보드는 다공질 흡음재의 일종이다.,289,다공질 흡음재에서 아트보드는 무엇인가요?
미네랄울 보온판에 대해 설명해줘,미네랄울 보온판은 열을 잘 전달하고 보존하여 몸을 편안하게 보온해주는 제품이다.,322,미네랄울 보온판에 대한 설명을 해 주실 수 있나요?.
건조시간 부족으로 인해 도배지 울음이 발생할 수 있어?,도배지를 충분히 건조시키지 않으면 울음이 나올 수 있습니다.,330,도배지가 제대로 건조되지 않으면 울음이 발생할 수 있어?
절단 부위가 과소하면 도배지가 찢어질 수 있어?,과소한 절단 부위로 인해 도배지가 찢어질 수 있습니다.,331,절단 부위가 부족하면 도배지가 찢어질까?
기존 실크 벽지를 불완전 제거할 경우 도배지가 찢어질 수 있어?,도배지를 불완전하게 제거하면 실크 벽지가 찢어질 수 있습니다.,332,실크 벽지를 완전히 제거하지 않으면 도배지가 찢어질 수 있어?
누수에 의해 도배지에 녹이 묻어나올 수 있어?,누수로 인해 도배지에는 녹이 생길 수 있다.,333,도배지가 누수로 인해 녹이 묻어날 수 있어?
도배지에 울음이 생겼어,울음이 도배지에 나타났다.,334,울음 흔적이 도배지에 생겼을 때 어떻게 해야 해?
벽면에 손상이 있을 경우 도배지 꼬임이 발생할 수 있어?,벽면에 손상이 있으면 도배지 꼬임이 생길 수 있다.,335,벽면 손상은 도배지 꼬임을 초래할 수 있어?
높은 습도로 인해 도배지와 몰딩면에 틈새가 생길 수 있어?,습도가 높을 경우 도배지와 몰딩면 사이에 간격이 생길 수 있습니다.,339,도배지와 몰딩면은 습도가 높아지면 틈새가 생길 수 있어?
높은 습도에 의해 석고수정이 발생할 수 있어?,습도가 높으면 석고수정이 발생할 수 있다.,340,습도가 높아지면 석고수정이 생길 수 있어?
도배지와 몰딩면에 틈새가 있어,도배지와 몰딩면 사이에 간격이 있다.,343,도배지와 몰딩면 사이에 간격이 있을 때 어떻게 해야 해?
"못, 또는 기타 이물질로 인해 면 불량이 발생할 수 있어?",면에 못 또는 다른 이물질이 들어가면 불량이 생길 수 있습니다.,344,못이나 기타 이물질로 인해 면이 불량해질 수 있어?
도배지가 찢어졌어,도배지가 파손되었습니다.,348,도배지가 찢어져서 망가졌을 때 어떻게 해야 해?
벽면의 손상이 발생했을 때 도배지 끝부분이 들뜰 수 있어?,"벽면에 손상이 발생할 경우, 도배지의 끝부분이 들뜰 수 있습니다.",349,벽면 손상으로 인해 도배지가 들뜰 수 있어?
불안정한 온도로 인해 도배지 꼬임이 발생할 수 있어?,불안정한 온도로 인해 도배지 꼬임의 위험이 있습니다.,350,도배지 꼬임은 온도 불안정으로 인해 발생할 수 있어?
높은 습도로 인해 몰딩수정이 발생할 수 있어?,습도가 높으면 몰딩수정이 발생할 수 있다.,354,몰딩수정은 높은 습도로 인해 발생할 수 있어?
누수가 발생할 경우 곰팡이가 발생할 수 있어?,누수가 있을 때 곰팡이가 생길 수 있다.,356,누수가 생기면 곰팡이가 생길 수 있어?
도배지가 끝부분이 들떠있어,도배지의 끝부분이 벗겨져나와 있습니다.,357,도배지 끝 부분이 들떠있을 때 어떻게 해야 해?
습도가 높을 경우 도배지 꼬임이 발생할 수 있어?,습도가 높으면 도배지가 꼬일 수 있습니다.,359,고습한 환경에서는 도배지 꼬임이 발생할 수 있어?
불량 도배지를 사용할 경우 도배지가 찢어질 수 있어?,만약 불량 도배지를 사용하면 도배지가 찢어질 수 있습니다.,360,도배지의 품질이 낮을 경우 찢어질 수 있어?
먼지 및 연기로 인해 도배지에 오염이 발생할 수 있어?,먼지와 연기 때문에 도배지가 오염될 수 있습니다.,362,도배지는 먼지와 연기로 오염될 수 있어?
어떤 환경조건으로 인해 몰딩수정이 발생할 수 있어?,몰딩 수정은 어떤 환경 조건으로 인해 발생할 수 있습니다.,364,몰딩수정이 발생하는 원인은 어떤 환경조건일까?
석고보드의 이동으로 인해 도배지 꼬임이 발생할 수 있어?,석고보드의 이동은 도배지 꼬임을 유발할 수 있습니다.,365,석고보드를 이동할 때 도배지가 꼬이는 현상이 발생할 수 있어?
